시도,시군구,읍면,동리,단지코드,단지명,단지분류,법정동주소,우편번호,도로명주소,분양형태,사용승인일,가입일,동수,세대수,분양세대수,임대세대수,임대세대수(공공),임대세대수(민간),관리방식,난방방식,복도유형,시공사,시행사,주택관리업자,주택관리업자 사업자등록번호,일반관리-관리방식,일반관리-인원,경비관리-관리방식,경비관리-인원,경비관리-계약업체,청소관리-관리방식,청소관리-인원,청소관리-계약업체,음식물 처리방법,소독관리-관리방식,소독관리-계약업체,연간소독횟수,소독방법,건물구조,전기-수전용량,전기-세대전기계약방식,전기안전관리자선임여부,화재수신반방식,급수방식,승강기관리-관리방식,승강기(승객용),승강기(화물용),승강기(승객+화물),승강기(장애인),승강기(비상용),승강기(기타),총주차대수,지상주차대수,지하주차대수,CCTV대수,홈네트워크,긴급자동차 출입가능한 출입문,선택한출입문의 주차관제시스템,긴급전용번호판자동인식여부,긴급자동차 출입방법,긴급자동차 즉시통과,관리사무소 주소,관리사무소 연락처,관리사무소 팩스,부대복리시설,최고층수,최고층수(건축물대장상),지하층수,차량보유대수(전체),차량보유대수(전기차),전기충전기설치여부(지상),전기충전기설치여부(지하),전기차전용주차면수(지상),전기차전용주차면수(지하),외부인개방여부(지상),외부인개방여부(지하),이용가능시작시간(지상),이용가능시작시간(지하),이용종료시작시간(지상),이용종료시작시간(지하),전기차충전시설(상세),전기차 충전시설 설치대수(지상),전기차 충전시설 설치대수(지하),입주편의시설
부산광역시,사하구,,신평동,A10027236,사하뷰웰아파트,아파트,부산광역시 사하구 신평동 669 사하뷰웰아파트,49418,부산광역시 사하구 신산북로 43,분양,20161202,20170104,13,900,900,0,0,0,위탁관리,개별난방,계단식,동광건설,LH,(주)하나종합관리,6088146774,위탁관리,8,위탁관리,6,(주)장천,위탁관리,10,(주)장천,음식물쓰레기종량제,위탁관리,(주)고려그린,3,"도포식,분무식",철근콘크리트구조,4200,단일계약,상주선임,R형,부스타방식,위탁관리,28,0,0,0,0,0,957,171,786,195,유,정문,유,부,긴급자동차가 출입가능하도록 사전에 차량번호를 출입가능차량명부에 등록하는 경우,가능,부산시 사하구 신산북로 43번길 59,512948601,512948603,"관리사무소, 노인정, 보육시설, 문고, 주민공동시설, 어린이놀이터, 휴게시설, 커뮤니티공간, 자전거보관소",22,22,2,1194,15,설치,설치,6,20,입주민전용,입주민전용,0시 0분,0시 0분,23시 59분,23시 59분,"◆1◆|지상|스탠드형충전기|AC단상 5핀|완속|6|현대엔지니어링|,◆2◆|지하|벽부형충전기|AC단상 5핀|완속|8|현대엔지니어링|,◆3◆|지하|벽부형충전기|AC단상 5핀|완속|12|GS커넥트 주식회사|",6,20,없음
부산광역시,사하구,,신평동,A10023928,사하코오롱하늘채아파트,아파트,부산광역시 사하구 신평동 674 사하코오롱하늘채아파트,49420,부산광역시 사하구 신산북로 41,분양,20211231,20220221,11,969,969,0,0,0,위탁관리,개별난방,계단식,(주)코오롱글로벌,신평지역주택조합,(주)케이비아주,2098134445,위탁관리,10,위탁관리,6,에스케이쉴더스 주식회사,위탁관리,11,조은관리,음식물쓰레기종량제,위탁관리,구구방역,4,분무식,철근콘크리트구조,5882,종합계약,상주선임,GR형,부스타방식,위탁관리,30,0,0,0,0,0,1042,0,1042,254,유,정문,유,여,,가능,부산시 사하구 신산북로 41,512949111,512949110,"관리사무소, 노인정, 보육시설, 문고, 주민공동시설, 어린이놀이터, 휴게시설, 유치원, 커뮤니티공간, 자전거보관소",29,29,3,1144,22,미설치,설치,0,21,,입주민전용,시 분,0시 0분,시 분,23시 0분,◆1◆|지하|벽부형충전기|AC단상 5핀|완속|21|GS커넥트|,0,21,없음
부산광역시,사하구,,신평동,A60475903,신익강변타운아파트,아파트,부산광역시 사하구 신평동 408 신익강변타운아파트,49419,부산광역시 사하구 하신중앙로 180,분양,19920325,20090511,8,937,937,0,0,0,위탁관리,개별난방,혼합식,현대건설,신익개발(주),(주)하나종합관리,6088146774,위탁관리,6,위탁관리,8,(주)경동기업,위탁관리,8,(주)경동기업,음식물쓰레기종량제,위탁관리,(주)블루샘,4,"분무식,기구부착식",철근콘크리트구조,2200,단일계약,상주선임,R형,부스타방식,위탁관리,29,0,0,0,0,0,501,323,178,128,유,정문,무,,,가능,부산광역시 사하구 하신중앙로 180,512923068,512056555,"관리사무소, 노인정, 주민공동시설, 어린이놀이터, 휴게시설, 유치원",15,15,1,967,10,설치,설치,1,9,,,,0시 0분,,23시 59분,"◆1◆|지하|벽부형충전기|AC단상 5핀|완속|9|(주)에버온인프라|,◆2◆|지상|벽부형충전기|AC단상 5핀|완속|1|(주)에버온인프라|",1,9,없음
부산광역시,사하구,,신평동,A60403002,신평럭키무지개타운아파트,아파트,"부산광역시 사하구 신평동 206-1,부산광역시 사하구 신평동 206-5 신평럭키무지개타운아파트",49418,부산광역시 사하구 신산북로43번길 43,분양,19900725,20090511,4,505,505,0,0,0,자치관리,개별난방,혼합식,(주)부원,(주)부원, ,,자치관리,5,위탁관리,4,태영개발(주),위탁관리,4,태영개발(주),거점장비수거방식,위탁관리,킴스ENC,3,분무식,철근콘크리트구조,1250,단일계약,상주선임,P형,고가수조식,위탁관리(직영+위탁),14,0,0,0,0,0,400,400,0,55,무,정문,무,,,가능,부산시 사하구 신산북로43번길 43,512065919,512050199,"관리사무소, 노인정, 어린이놀이터",15,15,0,486,5,설치,미설치,8,0,,,24시 0분,,24시 0분,,◆1◆|지상|스탠드형충전기|AC단상 5핀|완속|8|홈앤서비스 SK브로|,8,0,없음
부산광역시,사하구,,신평동,A60483203,신평삼익아파트,아파트,부산광역시 사하구 신평동 7 신평삼익아파트,49418,부산광역시 사하구 장평로 311,분양,19890530,20090511,7,312,312,0,0,0,자치관리,개별난방,계단식,주)삼익주택,(주)동아주택건설, ,,자치관리,3,자치관리,3,,자치관리,2,,차량수거방식,자치관리,,4,분무식,철근콘크리트구조,0,단일계약,위탁선임,P형,고가수조식,,0,0,0,0,0,0,174,174,0,16,무,정문,무,,,가능,부산시사하구장평로311,512014690,512014690,"관리사무소, 노인정, 어린이놀이터",6,6,1,0,0,미설치,미설치,0,0,,,시 분,시 분,시 분,시 분,,,,없음
부산광역시,사하구,,신평동,A60483402,신평삼창강변아파트,아파트,부산광역시 사하구 신평동 437 신평삼창강변아파트,49422,부산광역시 사하구 비봉로 37,분양,19980114,20090511,2,297,297,0,0,0,위탁관리,개별난방,계단식,삼창종합건설(주),삼창,(주)에이비씨서비스,3728600893,위탁관리,3,위탁관리,3,에이비씨서비스,위탁관리,2,에이비씨서비스,기타,자치관리,,2,분무식,철근콘크리트구조,982,단일계약,위탁선임,R형,고가수조식,위탁관리,7,0,0,0,0,0,301,104,197,43,무,정문,무,,,가능,부산시 사하구 비봉로 37 (신평동),512064323,512064324,"관리사무소, 노인정, 어린이놀이터, 자전거보관소",22,22,1,339,3,미설치,미설치,0,0,,,시 분,시 분,시 분,시 분,,,,없음
부산광역시,사하구,,신평동,A10027330,신평삼한사랑채아파트,아파트,부산광역시 사하구 신평동 668 신평삼한사랑채아파트,49420,부산광역시 사하구 신산북로 5,분양,20161014,20161110,5,298,298,0,0,0,위탁관리,개별난방,계단식,삼한주택,삼한주택,(주)에이비씨서비스,3728600893,위탁관리,4,위탁관리,2,(주)에이비씨서비스,위탁관리,3,에이비씨서비스,거점장비수거방식,자치관리(직영),,3,분무식,철근콘크리트구조,1250,종합계약,상주선임,P형,부스타방식,위탁관리,6,0,0,0,0,0,318,6,312,61,유,지하주차장,유,부,긴급자동차가 출입가능하도록 사전에 차량번호를 출입가능차량명부에 등록하는 경우,가능,부산광역시 사하구 신산북로 5,512082920,512082921,"관리사무소, 노인정, 어린이놀이터, 휴게시설, 자전거보관소",25,25,2,402,4,설치,설치,6,2,입주민전용,입주민전용,0시 0분,0시 0분,23시 59분,23시 59분,"◆1◆|지하|벽부형충전기|AC단상 5핀|완속|2|해피차ㅈ저|,◆2◆|지상|스탠드형충전기|AC단상 5핀|완속|||",0,2,있음
부산광역시,사하구,,신평동,A60472701,신평한성기린아파트,아파트,부산광역시 사하구 신평동 100 신평한성기린아파트,49393,부산광역시 사하구 다대로 109,분양,19930618,20110420,2,282,282,0,0,0,자치관리,개별난방,계단식,한성기린건설,한성기린건설, ,,자치관리,2,위탁관리,2,삼성보안공사,위탁관리,2,,차량수거방식,자치관리,,3,분무식,철근콘크리트구조,289,단일계약,위탁선임,P형,부스타방식,위탁관리,10,0,0,0,0,0,214,153,61,39,무,정문,무,,,가능,부산광역시 사하구 다대로 109,512087434,512087434,"관리사무소, 노인정, 어린이놀이터",15,15,1,252,1,미설치,미설치,0,0,입주민전용,입주민전용,시 분,시 분,시 분,시 분,,,,없음
부산광역시,사하구,,신평동,A60483404,신평한신아파트,아파트,부산광역시 사하구 신평동 425 신평한신아파트,49419,부산광역시 사하구 비봉로 42,분양,19931214,20090511,6,937,937,0,0,0,위탁관리,개별난방,계단식,한신공영(주),신익개발(주),(주)명건,6078135065,위탁관리,6,위탁관리,7,(주)비엔에이서비스,위탁관리,7,(주)비엔에이서비스,음식물쓰레기종량제,위탁관리,주식회사태창환경,4,분무식,철근콘크리트구조,1260,단일계약,상주선임,R형,고가수조식,위탁관리,0,0,21,0,0,0,739,316,423,115,무,정문,무,,,가능,부산시 사하구 비봉로42 신평한신아파트 관리사무소,512924015,512073745,"관리사무소, 노인정, 어린이놀이터, 자전거보관소",25,25,4,1088,10,설치,미설치,20,0,입주민전용,외부인허용,0시 0분,,23시 59분,,◆1◆|지상|스탠드형충전기|AC단상 5핀|완속|20|차지비|,20,0,없음
부산광역시,사하구,,신평동,A60476805,신평현대아파트,아파트,부산광역시 사하구 신평동 400 신평현대아파트,49419,부산광역시 사하구 하신중앙로 170,분양,19941217,20090511,4,992,992,0,0,0,위탁관리,개별난방,계단식,현대산업개발,교직원 조합,(주)삼성T.M.S,6078138188,위탁관리,7,위탁관리,9,(주)경동기업,위탁관리,6,(주)경동기업,음식물쓰레기종량제,위탁관리,,5,분무식,철근콘크리트구조,3250,단일계약,상주선임,R형,부스타방식,위탁관리,23,0,0,0,0,0,877,606,271,115,무,정문,무,,,가능,부산광역시 사하구 하신중앙로 170,512932611,512932612,"관리사무소, 노인정, 보육시설, 어린이놀이터, 유치원, 자전거보관소",25,25,1,1089,3,미설치,설치,0,26,,,시 분,,시 분,,◆1◆|지하|벽부형충전기|AC단상 5핀|완속|||,0,,없음
부산광역시,사하구,,신평동,A60403003,신평협성엠파이어,아파트,부산광역시 사하구 신평동 11-6 신평협성엠파이어,49418,부산광역시 사하구 장평로 339,분양,20120319,20130307,4,256,256,0,0,0,위탁관리,개별난방,계단식,(주)협성건설,(주)협성건설,(주)우림종합관리,6058121565,위탁관리,4,관리방식미정,0,,위탁관리,2,명가종합관리,음식물쓰레기종량제,자치관리,,4,"분무식,기구부착식",철근콘크리트구조,1750,단일계약,상주선임,R형,부스타방식,위탁관리,11,0,0,0,0,0,280,61,219,80,유,정문,유,여,,가능,49510,512942477,512942478,"관리사무소, 노인정, 어린이놀이터, 자전거보관소",15,15,2,5,5,미설치,설치,0,5,,외부인허용,시 분,1시 0분,시 분,1시 0분,◆1◆|지하|벽부형충전기|DC콤보 7핀|완속|5|파워큐브코리아|,0,5,없음
부산광역시,사하구,,신평동,A60483401,원우강변아파트,아파트,부산광역시 사하구 신평동 414-10 원우강변아파트,49422,부산광역시 사하구 비봉로 29,분양,20010607,20090511,3,276,276,0,0,0,위탁관리,개별난방,계단식,신평원우아파트,ㅁ,(주)HM우성,6058147662,위탁관리,3,위탁관리,3,태영개발주식회사,위탁관리,2,태영개발,음식물쓰레기종량제,자치관리,,5,도포식,철근콘크리트구조,927,단일계약,위탁선임,R형,고가수조식,위탁관리,6,0,0,0,0,0,276,120,156,46,무,정문,무,,,가능,49422,512085514,512085513,"관리사무소, 어린이놀이터, 휴게시설",23,23,1,0,0,미설치,설치,0,9,,입주민전용,시 분,0시 0분,시 분,23시 0분,◆1◆|지하|벽부형충전기|AC단상 5핀|완속|9|sk브로드밴드|,0,9,없음
부산광역시,사하구,,신평동,A60472602,한성임호아파트,아파트,부산광역시 사하구 신평동 100 한성임호아파트,49393,부산광역시 사하구 다대로 109,분양,19930618,20090511,2,217,217,0,0,0,위탁관리,개별난방,계단식,서호건설,임호주택,(주)주우관리,6058113949,위탁관리,2,위탁관리,2,삼성보안공사,위탁관리,2,삼성보안공사,차량수거방식,자치관리,,4,분무식,철근콘크리트구조,134,단일계약,위탁선임,P형,부스타방식,위탁관리,8,0,0,0,0,0,160,160,0,36,무,정문,무,,,가능,부산사하구 다대로 109,512029571,512029570,"관리사무소, 노인정, 어린이놀이터",15,15,1,224,4,설치,미설치,4,0,입주민전용,,0시 0분,,23시 59분,,◆1◆|지상|스탠드형충전기|AC단상 5핀|완속|4|엘지유플러스|,4,0,없음
부산광역시,사하구,,신평동,A60483201,한솔베스파트아파트,주상복합,부산광역시 사하구 신평동 84-9 한솔베스파트아파트,49442,부산광역시 사하구 신산로 187,분양,20010327,20090511,1,176,176,0,0,0,위탁관리,개별난방,계단식,대한주택보증,장백건설,(주)에이비씨서비스,3728600893,위탁관리,1,위탁관리,2,(주)주우관리,위탁관리,2,,차량수거방식,관리방식미정,,,-,철근콘크리트구조,650,단일계약,위탁선임,P형,고가수조식,위탁관리,5,0,0,0,0,0,155,52,103,37,무,정문,무,,,가능,부산시 사하구 신산로187,512927556,519977556,"관리사무소, 노인정, 어린이놀이터, 자전거보관소",25,25,2,165,1,미설치,설치,0,4,,입주민전용,시 분,0시 0분,시 분,23시 59분,◆1◆|지하|벽부형충전기|AC단상 5핀|완속|4|GS커넥티드|,0,4,없음
부산광역시,사하구,,장림동,A10022280,두산위브더센트럴사하,아파트,부산광역시 사하구 장림동 1154- 두산위브더센트럴사하,,,분양,20240926,20241011,13,1643,1643,0,0,0,위탁관리,개별난방,계단식,두산건설(주),장림1구역주택재개발정비사업조합,(주)썬앤문,6028141335,위탁관리,12,위탁관리,,(주)썬앤문,위탁관리,16,(주)썬앤문,음식물쓰레기종량제,관리방식미정,,,-,철근콘크리트구조,6500,종합계약,상주선임,GR형,부스타방식,관리방식미정,34,0,0,0,0,0,2020,0,2020,497,유,정문,유,부,,가능,부산광역시 사하구 장림로 199,512635888,512636888,"관리사무소, 노인정, 보육시설, 주민공동시설, 어린이놀이터, 휴게시설, 커뮤니티공간, 자전거보관소",35,,2,1643,20,미설치,설치,0,12,,입주민전용,시 분,0시 0분,시 분,24시 0분,"◆1◆|지하|스탠드형충전기|직접입력|완속|10|코스텔(주)|,◆2◆|지하|스탠드형충전기|직접입력|급속|2|코스텔(주)|",0,12,없음
부산광역시,사하구,,장림동,A60404202,로얄베스토피아아파트,아파트,부산광역시 사하구 장림동 185-29 로얄베스토피아아파트,49458,부산광역시 사하구 다대로227번길 45,분양,19930728,20090511,2,187,187,0,0,0,위탁관리,개별난방,계단식,로얄건설,로얄건설,삼성티엠에스,6078138188,위탁관리,2,위탁관리,2,삼성티엠에스,위탁관리,2,삼성티엠에스,차량수거방식,자치관리,,1,분무식,철근콘크리트구조,200,단일계약,위탁선임,P형,고가수조식,위탁관리,6,0,0,0,0,0,140,114,26,24,무,정문,무,,,가능,부산시 사하구 장림2동 185-29,512639146,512639146,"관리사무소, 노인정, 어린이놀이터",15,15,2,186,7,미설치,설치,0,3,,입주민전용,,0시 0분,,23시 59분,◆1◆|지하|벽부형충전기|AC단상 5핀|완속|3|이지차지|,0,3,없음
부산광역시,사하구,,장림동,A60484612,벽산아파트,아파트,부산광역시 사하구 장림동 532 벽산아파트,49491,부산광역시 사하구 장평로41번길 19,분양,19920909,20090511,3,450,450,0,0,0,자치관리,개별난방,계단식,벽산건설,마마주택, ,,자치관리,3,자치관리,4,,자치관리,3,,음식물쓰레기종량제,위탁관리,부일환경,6,분무식,철근콘크리트구조,1110,단일계약,위탁선임,R형,고가수조식,위탁관리,12,0,0,0,0,0,234,234,0,46,무,정문,무,,,가능,부산사하구장평로41번길19,512646629,512646627,"관리사무소, 노인정, 어린이놀이터",15,15,1,234,5,설치,미설치,5,0,입주민전용,,0시 59분,,0시 59분,,◆1◆|지상|벽부형충전기|AC단상 5핀|완속|5|홈앤서비스|,5,0,없음
부산광역시,사하구,,장림동,A10025499,사하 리버팰리스 주상복합,주상복합,부산광역시 사하구 장림동 435 사하 리버팰리스 주상복합,49469,부산광역시 사하구 다대로 328,분양,20190517,20190529,2,154,154,0,0,0,위탁관리,개별난방,계단식,동양종합건설(주),(주) 디앤와이,(주)하나티엠,6058124811,위탁관리,2,위탁관리(직영+위탁),2,,위탁관리,1,,음식물쓰레기종량제,,,,-,철근콘크리트구조,1395,종합계약,위탁선임,R형,부스타방식,위탁관리,4,0,0,0,0,0,172,0,172,44,무,주차장,유,여,,가능,부산시 사하구 다대로328 (장림동 435 번지),512657088,512637088,"관리사무소, 주민공동시설, 자전거보관소",28,28,4,172,1,미설치,설치,0,4,,,,0시 0분,,23시 59분,◆1◆|지하|벽부형충전기|AC단상 5핀|완속|4|코스텔|,0,4,없음
부산광역시,사하구,,장림동,A10025997,사하 장림역스마트W아파트,아파트,부산광역시 사하구 장림동 1151 사하 장림역스마트W아파트,49465,부산광역시 사하구 장림번영로104번길 10,분양,20181011,20181023,3,494,494,0,0,0,위탁관리,개별난방,혼합식,경성리츠,(주)경성리츠,(주)재덕,3408100611,위탁관리,5,위탁관리,2,(주)재덕,위탁관리,4,(주)재덕,음식물쓰레기종량제,위탁관리,구구환경,5,분무식,철골철근콘크리트구조,2600,종합계약,상주선임,R형,부스타방식,위탁관리,5,0,0,0,0,0,449,15,434,91,유,지상주차장,유,여,,가능,부산시 사하구 장림번영로 104번길 10,517153060,517153070,"관리사무소, 노인정, 보육시설, 문고, 주민공동시설, 어린이놀이터, 커뮤니티공간, 자전거보관소",20,20,4,608,10,미설치,설치,0,8,,,시 분,1시 1분,시 분,12시 59분,◆1◆|지하|벽부형충전기|직접입력|완속|8|모름|,0,8,없음
부산광역시,사하구,,장림동,A60477509,윌더하임아파트,아파트,부산광역시 사하구 장림동 599-27 윌더하임아파트,49483,부산광역시 사하구 장평로 119,분양,20051115,20090511,4,392,392,0,0,0,위탁관리,개별난방,계단식,0,0,(주)하나종합관리,6088146774,위탁관리,4,위탁관리,4,비앤에이서비스,위탁관리,3,비앤에이서비스,음식물쓰레기종량제,위탁관리,,4,"도포식,분무식",철근콘크리트구조,1185,단일계약,위탁선임,R형,부스타방식,위탁관리,9,0,0,0,0,0,398,126,272,45,무,정문,무,,,가능,부산 사하구 장평로 119  윌더하임아파트 관리사무소,512621917,512621918,"관리사무소, 노인정, 주민공동시설, 어린이놀이터, 자전거보관소",28,28,0,445,10,미설치,설치,0,10,,,시 분,0시 0분,시 분,0시 0분,◆1◆|지상|스탠드형충전기|AC단상 5핀|완속|10|플러그링크|,10,0,없음
부산광역시,사하구,,장림동,A60476911,장림강남아파트,아파트,부산광역시 사하구 장림동 566-7 장림강남아파트,49483,부산광역시 사하구 장평로41번길 61,분양,19920630,20090511,5,447,447,0,0,0,자치관리,개별난방,계단식,강남건영,강남건영, ,,자치관리,3,자치관리,5,,자치관리,5,,음식물쓰레기종량제,위탁관리(직영+위탁),,4,분무식,철근콘크리트구조,225,단일계약,위탁선임,P형,부스타방식,위탁관리,15,0,0,0,0,0,294,267,27,61,무,정문,무,,,가능,부산광역시 사하구 장평로41번길 61,512629493,512662853,"관리사무소, 노인정, 어린이놀이터, 휴게시설",15,15,1,460,2,미설치,미설치,0,0,,,시 분,시 분,시 분,시 분,,,,없음
부산광역시,사하구,,장림동,A60470305,장림경동메르빌,아파트,부산광역시 사하구 장림동 2 장림경동메르빌,49511,부산광역시 사하구 다대로277번길 124,분양,20021122,20090511,1,261,261,0,0,0,위탁관리,개별난방,계단식,경동건설,경동건설,(주)하나종합관리,6088146774,위탁관리,2,위탁관리,2,주)하나종합관리,위탁관리,2,,음식물쓰레기종량제,위탁관리,,4,도포식,철근콘크리트구조,650,단일계약,위탁선임,GR형,부스타방식,위탁관리,7,0,0,0,0,0,193,78,115,42,무,정문,무,,,가능,부산광역시 사하구 다대로277번길 124,512661360,512661409,"관리사무소, 노인정, 어린이놀이터, 휴게시설, 자전거보관소",20,20,2,254,10,설치,미설치,6,3,입주민전용,입주민전용,0시 1분,시 분,23시 59분,시 분,◆1◆|지상|벽부형충전기|직접입력|완속|9|파워큐브코리아|,9,0,없음
부산광역시,사하구,,장림동,A60484607,장림국제마마아파트,아파트,부산광역시 사하구 장림동 566-12 장림국제마마아파트,49491,부산광역시 사하구 장평로41번길 51,분양,19930906,20090511,1,288,288,0,0,0,위탁관리,개별난방,혼합식,국제종합건설(주),(주)마마주택,주식회사 바른기업,1038801849,위탁관리,2,위탁관리,2,(주)바른기업,위탁관리,2,,음식물쓰레기종량제,자치관리,,4,"분무식,독이식",철근콘크리트구조,214,기타,위탁선임,P형,부스타방식,위탁관리,6,0,0,0,0,0,139,119,20,38,무,지상주차장,무,,,가능,부산 사하구 장평로41번길 51 (장림국제마마아파트),512631771,512631750,"관리사무소, 노인정, 어린이놀이터",15,15,0,250,3,설치,미설치,3,0,입주민전용,,0시 0분,,23시 59분,,◆1◆|지상|스탠드형충전기|AC단상 5핀|완속|3|GS차지비|,3,0,있음
부산광역시,사하구,,장림동,A60477013,장림극동정림아파트,아파트,부산광역시 사하구 장림동 426 장림극동정림아파트,49511,부산광역시 사하구 다대로 339,분양,19951220,20090511,1,472,472,0,0,0,자치관리,개별난방,혼합식,극동건설,정림주택, ,,자치관리,3,자치관리,6,,자치관리,3,,거점장비수거방식,위탁관리,,3,분무식,철근콘크리트구조,1400,단일계약,위탁선임,P형,부스타방식,위탁관리,8,0,0,0,0,0,355,77,278,54,무,정문,무,,,가능,부산시 사하구 다대로339 극동정림관리사무소,512631669,512659544,"관리사무소, 노인정, 어린이놀이터",25,25,0,440,3,설치,설치,1,6,입주민전용,입주민전용,23시 59분,23시 59분,23시 59분,23시 59분,"◆1◆|지상|벽부형충전기|직접입력|완속|1|파워큐브코리아|,◆2◆|지하|벽부형충전기|직접입력|완속|6|파워큐브코리아|",1,6,없음
부산광역시,사하구,,장림동,A10026102,장림나산리버빌아파트,아파트,부산광역시 사하구 장림동 321-28 장림나산리버빌아파트,49475,부산광역시 사하구 장림번영로 53,분양,20080310,20180828,1,128,128,0,0,0,위탁관리,개별난방,계단식,나산건설,나산건설,조은관리시스템 주식회사,8328701902,위탁관리,1,위탁관리,2,(주)조은관리시스템,위탁관리,1,,차량수거방식,위탁관리,,4,분무식,철근콘크리트구조,740,종합계약,상주선임,P형,부스타방식,위탁관리,4,0,0,0,0,0,153,23,130,32,무,지상주차장,무,,,가능,부산광역시 사하구 장림번영로53(장림동),512612075,512612075,관리사무소,18,18,3,153,0,미설치,설치,23,130,,입주민전용,,0시 0분,,23시 59분,◆1◆|지하|벽부형충전기|AC단상 5핀|완속|3|GS차지비(주)|,0,3,없음
부산광역시,사하구,,장림동,A10021074,장림동 협진태양아파트,아파트,부산광역시 사하구 장림동 65- 장림동 협진태양아파트,,,분양,19890502,20241219,4,148,148,0,0,0,자치관리,개별난방,계단식,협진주택,협진주택, ,,자치관리,,,,,,,,,,,,-,,,,,,,,,,,,,,0,,,,,,,,,가능,부산사하구 장림2동 두송로32 협진태양아파트 관리실,512635005,512655955,,1,,1,,,,,,,,,,,,,,,,없음
부산광역시,사하구,,장림동,A60474410,장림동원3차아파트,아파트,부산광역시 사하구 장림동 185-1 장림동원3차아파트,49458,부산광역시 사하구 다대로227번길 37,분양,19991020,20090511,2,402,402,0,0,0,위탁관리,개별난방,혼합식,동원주택(주),(주)세진종합건설,(주)에이치엠 우성,6058147662,위탁관리,4,위탁관리,4,(주)디이씨오,위탁관리,2,(주)디이씨오,음식물쓰레기종량제,위탁관리,(주)푸른환경시스템,5,분무식,철근콘크리트구조,1040,단일계약,위탁선임,R형,고가수조식,위탁관리,0,0,0,0,8,0,325,116,209,57,무,정문,무,,,가능,부산시 사하구 다대로 227번길 37,512667939,512627939,"관리사무소, 노인정, 주민공동시설, 어린이놀이터",24,24,0,0,0,미설치,미설치,0,0,,,시 분,시 분,시 분,시 분,,,,없음
